label,mean_cv_rmse,sd_cv_rmse,reps
Linear regression,46.52503606244896,.3236207909790734,20
Restricted cubic spline (5),35.62175027746021,.6580992374703613,20
npregress kernel,24.51920059616247,.7858378840443754,20
npregress series,24.08022083916234,1.289777835073763,20
"NNS connect, order(3)",28.02253908931248,1.757368051954455,20
"NNS OLS, order(3)",24.54672077328674,.7660017991611516,20
"NNS OLS, order(3) median",24.61328161104804,.9336880952422045,20
