model,mean_rmse_true,sd_rmse_true,reps
npregress kernel,.8128024047707112,.2252509805077986,100
npregress series,.7472853191860704,.5084855837118009,100
"NNS OLS, order(3)",.7458792642506563,.1049197320049082,100
Percentile-knot spline,1.48120782138129,.3462039466361275,100
