model,r2,rmse_obs,nknots
Linear regression,.0878549274367622,45.97676964580477,0
npregress kernel,.7997699572206398,21.73679239183186,
npregress series,.7964451272664088,21.71937118826563,
"NNS connect, order(3)",.6231873231785282,30.63817243470774,13
"NNS OLS, order(3)",.8010976412557749,21.46972406070601,13
"NNS OLS, order(3) median",.7960497118756986,21.74045642891177,13
